,Conditions,Organism,Fixation,Authors,GLDS
Parabolic flight 2D Clinostat,"0.16g, 0.38gand 0.5gdark 5min, 10min and 30min",Arabidpsis thaliana(Col-0),RNAlater Freeze (liquid nitrogen),Fengler et al. (2016),NA
Levitation magnet Random Positioning Machine (RPM) Large Diameter Centrifuge (LDC),"μ∗, 0,1g∗, 1g∗, 1.9g∗ and 2g∗ μg2gdark 200min",Arabidpsis thaliana(MM2d),Freeze (liquid nitrogen),Manzano et al. (2012),GLDS-8
Random Positioning Machine (RPM),μgdark synchronous subpopulations (enriched in G2/M and G1 phases) asynchronous population 14h,Arabidpsis thaliana(MM2d),Freeze (liquid nitrogen),Kamal et al. (2019),GLDS-144
