Line name,Reference
myd88-/-,[57]
irf8-/-,[38]
Tg(NF-κB RE:GFP),[33]
Tg(lyz:BFP),This study
Tg(mpeg1:H2B-mCherry),[56]
Tg(mfap4:tomato-caax),[58]
Tg(mpx:mCherry-2A-rac2D57N),[37]
Tg(mpx:mCherry-2A-rac2WT),[37]
Tg(mpx:mCherry),[59]
