,Cardiovascular Disease,Cancer,Accident,Other
Reference Groups
"US Population Ages 55–64, (n= 338, 127)",27%,34%,5%,35%
"Non-Flight Astronauts, (n= 35)",9%*,29%,53%*,9%*
Astronaut Groups
"All Flight Astronauts, (n= 42)",17%,31%,43%*,10%*
"Low Earth Orbit Astronauts, (n= 35)",11%*,31%,49%*,9%*
"Apollo Lunar Astronauts, (n= 7)",43%†‡,29%,14%^,14%
