Gene ID,Gene symbol,FC: RMA,FC: MAS5,FC: PLIER
AT2G36870,XTH32,3.19,7.98,7.02
AT4G03210,XTH9,,2.88,12.92
AT1G64390,GH9C2,5.33,5.42,7.64
AT1G28290,AGP31,22.97,23.44,22.72
