Criterion,Flight + Flight vivarium,Ground control + Ground control vivarium
,"fulfilled, n","failed, n","fulfilled, %","fulfilled, n","failed, n","fulfilled, %"
Blood pressure signal quality,15,5,75,12,3,80
Voluntary running more than 3 km/day,34,8,81,25,5,83
More than 95% correct reactions in the operant conditioning task by day 3,39,3,93,28,2,93
Housing group stability (cages),19,2,90,14,1,93
