,
,CDR3 Amino Acid Length
""
Isotype,G1,G2,G3,F1,F2,F3
IgA,10,13,12,13,11,12
IgD,11,12,12,12,12,12
IgE,14,11,12,14,11,15
IgG,12,12,13,13,11,12
IgM,12,12,12,12,11,12
