Tech Demo,Plant/Pillow Initiation,1st Harvest,2nd Harvest,3rd Harvest,FinalHarvest,Return to Earth,Plant analysis,Pillow Analysis,Swab Analysis
VEG-03D (SN002),9/26/17,10/27/17,11/3/17,11/13/17,11/23/17,5/5/18,5/14/18,7/10/18,6/29/18
VEG-03E (SN001),2/6/18,3/8/18,3/14/18,3/27/18,4/6/18,8/30/18,10/4/18,11/27/18,11/19/18
VEG-03F (SN002),2/9/18,3/11/18,3/17/18,3/30/18,4/9/18,8/3/18,10/4/18,11/27/18,11/19/18
