,,Baseline,Unloading,Reambulation
EXP,,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max
Mu.Ar,16.1,13.4,19.3,14.6,11.7,17.5,15.8,13.2,18.9
Ct.Ar (mm2),1.07,0.88,1.25,1.06,0.87,1.27,1.11,0.91,1.31
Ma.Ar (mm2),0.51,0.38,0.64,0.54,0.40,0.68,0.52,0.38,0.67
TMD (mgHA/cm3),1132,1101,1183,1135,1099,1172,1144,1108,1178
CTL,Mu.Ar,16.8,14.0,19.9,17.0,13.5,20.9,17.0,13.7,20.6
Ct.Ar (mm2),1.09,0.93,1.29,1.13,0.94,1.34,1.17,0.96,1.39
Ma.Ar (mm2),0.49,0.41,0.60,0.50,0.40,0.60,0.49,0.40,0.60
TMD (mgHA/cm3),1129,1104,1152,1140,1118,1162,1153,1129,1177
