PC,RGP,RGR,RGI,RVI,RSL,RRL,RSFW,RRFW,RSDW,RRDW
PC1,0.343,0.278,0.356,0.334,0.337,0.293,0.313,0.313,0.330,0.250
PC2,−0.388,−0.520,−0.304,−0.128,0.115,0.062,0.120,0.417,0.306,0.413
