Diet,Percentage of adultsawith melanotic tumors
Genotypeb(N),Melanotic nodule severity (%)c
Balancer,dpld,1,2,3,4,5,6
Normal,0% (373),90.3% (154),0.6,3.9,59.1,25.3,1.3,9.7
Curcumin supplement,0% (762),87.1% (310),1.6,26.8,56.1,1.3,1.3,12.9
