,Cell Type,GFP-KDEL,SUN1L-KDEL
time,,n,Nuclear height (µm),X-Y nuclear area (µm2),n,Nuclear height (µm),X-Y nuclear area (µm2)
20 h,Ground,74,2.7 ± 1.1,207 ± 89,73,2.7 ± 1.2,216 ± 111
SMG,81,2.2 ± 1.1 *,267 ± 148 *,99,3.4 ± 1.1 *,164 ± 41 *
2 h,Ground,82,2.0 ± 0.8,234 ± 104,45,2.2 ± 0.6,212 ± 60
SMG,68,3.0 ± 1.5 *,176 ± 107 *,43,2.6 ± 1.1,193 ± 60
