DDR Processes,Degree Distribution,Subgraph Centrality
LRD3,LRD4,LRD3,LRD4
Cellular response to stress,3,22,54.4538,2.9737
Cellular response to DNA damage stimulus,2,33,2.1782,156.2451
DNA metabolic process,2,22,2.3811,57.2840
