Gene ID,Gene symbol,FC: RMA,FC: MAS5,FC: PLIER
AT2G39900,WLIM2A,4.39,,6.01
AT3G05470,FH2 family,,10.28,10.32
AT2G43800,FH2 family,,,8.74
AT3G07540,FH2 family,,,18.66
AT3G32400,FH2 family,,,5.45
AT3G22790,NET1A,,,14.38
AT3G43610,SPC97,,,6.59
