TAIR,SYMBOL,GENENAME,REFSEQ,ENTREZID,STRING_id,GOSLIM_IDS
AT1G01010,ANAC001,NA,NM_099983,839580,3702.AT1G01010.1,NA
AT1G01020,ARV1,NA,NM_001035846,839569,3702.AT1G01020.1,"GO:0005622, GO:0005737, …"
AT1G01030,NGA3,NA,NM_001331244,839321,3702.AT1G01030.1,NA
AT1G01040,ASU1,Encodes a Dicer homolog …,NM_001197952,839574,3702.AT1G01040.2,NA
