,,Reference2,Genome3,Compared4
""
Cohort,N,R2(p-value),R2(p-value),R2(p-value)
CASIS G,3,0.026 (.086),0.195 (<.0001),0.011 (.027)
CASIS F,3,0.001 (.776),0.282 (<.0001),0.042 (.074)
NASA G,7,0.021 (.780),0.440 (<.0001),0.013 (.262)
NASA F,7,0.006 (.419),0.375 (<.0001),0.006 (.476)
