NFWR,Limb sampled,Colony Forming Units,Closest match
137,Right Back,60,Streptomycetesspecies
,Left Front,180,Fusariumspecies
138,Left Front,TNTC,Penicilliumspecies;Cladosporiumspecies;Streptomycetesspecies
,Left Back*,TNTC,Penicilliumspecies (2 different species);Streptomycetesspecies
139,Left Back,510,Hyphomycetesspecies;Penicilliumspecies;
,,,Cladosporiumspecies (2 different species)
,Right Front,750,Hyphomycetesspecies (2 different species);
,,,Cladosporium(2 different species);Penicilliumspecies
