Mission,Mouse Strain,Mouse age at launch (wk),Mouse gender,Flight Duration (d)
STS-131,C57BL/6J,16,Female,15
STS-135,C57BL/6,9,Female,13
Bion-M1,C57BL/6N,19–20,Male,30
