,Growth,Carrying Capacity (K)
Evaluated at:,27 °C,37 °C,43 °C,46 °C,49 °C,37 °C,43 °C
Strain evolved at:,37 °C,HCT,37 °C,HCT,37 °C,HCT,37 °C,HCT,37 °C,HCT,37 °C,HCT,37 °C,HCT
Bc 370a *,▼,▼,▼,▼,▼,▼,,▼,▼,▼,,,,▲
Bc 11b *,,▼,,▼,,▲,,▼,,▼,,▼,,▲
Bc 102 *,▼,▼,▼,,▼,▲,,,▼,▼,,,,▲
Bs 21,,,▲,▲,▲,▲,,,▲,▲,▲,▲,▲,▲
Bs 90 *,,,▼,▼,▼,▼,,,▲,▲,▲,▲,▲,▲
Bs 427,,,,,▲,▲,▲,▲,▲,▲,▲,▲,▲,▲
BS PY79,,▼,,,,,,,,,▲,▲,▲,▲
