Slope of Linear Regression “y= mx” (fraction ofAPG3±plants with visible sector/Gy)
Line,m (56Fe-HZE),m (137Cs-γ),RBE (mHZE/mγ)
Wild-type,0.1389,0.0417,3.33
atm-1,0.2626,0.1024,2.56
atr-2,0.3079,0.0784,3.93
lig4-3,0.4292,0.1268,3.38
ku80-1,0.2343,0.0686,3.42
