Methods,1,2,3,4,5,6,7,8,9,10,AUROC
RF,89.39,88.64,90.54,91.76,89.09,88.57,86.04,91.03,87.66,90.94,88.75
GB,85.28,84.62,87.03,86.82,85.62,86.52,83.22,87.33,82.89,88.06,85.69
GNN,87.70,90.13,89.78,89.96,88.79,90.59,85.60,89.44,88.35,90.26,88.63
GCN,88.95,90.87,91.21,92.79,93.00,93.20,94.29,95.05,95.72,96.00,96.11
