,7 days,1 month,4 months
DEG,DML/DMR,DEG,DML/DMR,DEG,DML/DMR
HLU,71,743,7,716,4,134
↓,26,173,2,67,2,55
↑,45,570,5,649,2,79
IR,275,408,31,288,1,107
↓,142,147,15,30,0,42
↑,133,261,16,258,1,65
HLU + IR,0,374,64,957,4,451
↓,0,78,22,170,3,154
↑,0,296,42,787,1,297
