,TLR-2,p value,TLR-4,p value
,AEM Control,Flight,,AEM Control,Flight,
TNF-α,44.33 (6.529),80.83 (12.94),0.0304,48 (2.754),73.7 (11.88),0.1586
IL-6,11.92 (5.32),12.42 (3.241),0.9376,35.33 (2.603),64.9 (22.16),0.3565
