Reagent,Final concentration,Amount
"Tris, pH 7.5 (1M)",10mM,0.5 mL
"EDTA, pH 8.0 (500mM)",1mM,0.1 mL
Tween-20,0.05%,0.025 mL
ddH2O,n/a,49.375 mL
Total,n/a,50 mL
