Conditions,"Mars Mission (Mars Science Lab) [6,7,23]","Lunar Mission (Apollo) [24,25]",On ISS * (~400 km) [29],"Sub-Orbital *(~120 km) [30,31]","Stratosphere above Antarctica * (30–37 km) [32,33]"
Transit Journey,1.84 ± 0.33,0.7–3,~0.5(50–80% from GCR particles),~0.03–0.336(Mercury 3),0.4–0.6
Surface,0.64 ± 0.12 (solar min),0.24–0.30 (solar max); 0.67–1.04 (Solar min)
