,Pool 1,Pool 2,Pool 3
Total Reads,25.1 Ma,31.4 M,32.7 M
Post Cleaning,12.0 M,30.9 M,32.0 M
Productive IgH,"8,714","11,200","10,224"
Unknown IgH,"14,271","27,896","18,756"
Productive Igκ,"11,968","18,643","16,293"
Unknown Igκ,"12,602","39,410","36,624"
