,Single channel current (pA),n,Mechanosensitivitya,n
,
Pressure gated
WT,84.7 ± 1.7,,12,1.5 ± 0.0,,12
Δ110-112,73.1 ± 1.2**,,5,1.5 ± 0.1,,5
Δ110-115,< 30,,19,1.8 ± 0.1***,,14
A110-112C,49.1 ± 5.0***,,15,1.7 ± 0.1,,31
,
MTSET+gated
G22C,19.5 ± 1.9,,4,0,,4
G22C/Δ110-115,9.5 ± 1.8**,,7,0,,7
,
Pressure gated REDOX
,Control,DTT,Control,DTT
A110-112C,49.1 ± 5.0,70.4 ± 2.6***,15,1.7 ± 0.1,1.9 ± 0.2,4
,
Pressure gated ZnCl2treatment
,Control,ZnCl2,Control,ZnCl2
A110H,74.9 ± 1.7,35.7 ± 2.1***,6,138.3 ± 13.8,133.5 ± 13.1,6
A112H,80.2 ± 3.6,43.1 ± 3.9***,5,136.3 ± 14.0,150.2 ± 16.9*,5
