q-value,Log2(FC),Gene and DNA region description
1.66E-09,−3.0461,calcium exchanger (CAX1) [At2g38170.1]
3.28E-07,−3.8209,calcium exchanger (CAX1) [At2g38170.3]
0.001201795,−2.7293,Expressed protein [At3g01345.1]
0.004291231,−1.1998,hypothetical protein [At4g07526.1]
0.005396832,−1.0903,Unknown [CHR2:011819877–011819818]
