Parameter,Striola (n=17),Medial (n=30),Lateral (n=7)
Range,Mean ± SD,Range,Mean ± SD,Range,Mean ±SD
Terminal Fiber Length (μm),43 – 273,166 ± 78,76 – 1076,358 ± 244,82 – 319,166 ±77
Terminal Fiber Volume (μm3),55 – 1428,310 ± 317,93 – 5449,1239 ± 1400,129 – 570,379 ± 163
Nodes per Fiber,0 – 5,1.4 ± 1.7,0 – 27,7.6 ± 6.6,1 – 7,3.1 ± 2.7
Number of Boutons,1 – 6,2.5 ± 1.7,1 – 35,9.4 ± 7.5,2 – 9,4.7 ± 2.7
