Conditions,Ecotype,Fixation,Tissue,Authors,GLDS
μgdark 12 days,Col-0,RNAlater,Seedlings,Paul et al. (2012),GLDS-17
μgdark 12 days,Col-0,RNAlater,Seedlings,Kwon et al. (2015),GLDS-44
μgdark 12 days,Ler-0,RNAlater,Shoot,Johnson et al. (2017),GLDS-121
μgdark 8 days,"Col-0, Ws-2, Ler-0 and Cvi-0",RNAlater,Seedlings,Choi et al. (2019),GLDS-37
μgdark 3 days,Col-0,RNAlater,Seedlings,Kruse et al. (2020),GLDS-38
μgdark 14 days,"Col-0,atire1,bzip60,bzip28,bzip28 bzip60",RNAlater,Seedlings,Angelos et al. (2021),GLDS-321
