,Iodixanol(Visipaque™),Iopromide(Ultravist™),6%HES(VOLULYTE®),15%Mannitol,NegativeControl(Culture Media)
Iodine concentration (mgI/dL),320,290,-,-,-
Osmolality (mOsm/kg),290,607,283,823,288
"Viscosity (cP, at 37 °C)",11.8,4.9,2,1,0.8
