Gene Name,Fold Change
FlgG,2.09
secY,2.06
FliE,2.05
nudE,2.00
IpxD,2.04
tatB,2.08
hslU,2.31
rseA,0.88
groEL,1.21
dnaK,2.00
dinF,-0.5
