Mission,FL,GC,Reference
BRIC-18,25.1+0.12°C,24.8+0.16°C,"Fajardo-Cavazos and Nicholson, 2016"
BRIC-21,22.8+0.07°C,22.8+0.21°C,"Morrison et al., 2017"
