S. aureusRecipient Strain,SMG (Range),1G (Range)
IF4SW,4.21 × 10−7(1.1 × 10−6to 5.2 × 10−8),2.05 × 10−9(0.0 to 4.1 × 10−9)
IIF6SW,4.54 × 10−8(7.5 × 10−8to 6.3 × 10−9),0.0 (no transfer)
IF7SW,3.20 × 10−7(7.2 × 10−7to 9.9 × 10−8),4.33 × 10−9(7.5 × 10−9to 2.2 × 10−9)
IIF8SW,4.38 × 10−7(6.8 × 10−7to 3.1 × 10−9),6.07 × 10−9(0.0 to 1.2 × 10−9)
