Characteristic,GC,SF,CON,HDT
Maximal diameter (μm),215 ± 5,236 ± 9*,178 ± 11,173 ± 15
Medial wall thickness (μm),12.2 ± 1.2,12.4 ± 1.6,10.3 ± 0.7,10.3 ± 0.5
Spontaneous tone (%),15.0 ± 2.0,8.2 ± 2.5*,12.8 ± 3.1,12.0 ± 2.6
